City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,mukalla,14.5425,49.1242,29.47,81,93,4.13,YE,1719274243
242,sao vicente,-23.9631,-46.3919,24.04,26,38,5.22,BR,1719273976
243,nuuk,64.1835,-51.7216,3.95,80,100,4.15,GL,1719274126
244,trincomalee,8.5711,81.2335,27.98,75,100,10.61,LK,1719274247
245,bethanie,-26.4833,17.15,12.15,39,0,1.46,NA,1719274248
246,tierp,60.3427,17.5181,15.55,82,0,2.66,SE,1719274253
247,salaqi,40.5414,110.5108,21.95,29,12,2.11,CN,1719274254
248,kokopo,-4.352,152.2633,29.07,69,27,2.07,PG,1719274187
249,san rafael,-34.6177,-68.3301,5.09,55,100,2.73,AR,1719274159
250,tsarevo,42.1667,27.85,20.52,89,1,2.24,BG,1719274258
251,yakeshi,49.2833,120.7333,22.06,47,15,1.56,CN,1719274259
252,nambucca heads,-30.65,153.0,16.67,62,26,0.81,AU,1719274261
253,anadyr,64.75,177.4833,3.87,89,100,4.7,RU,1719274190
254,hasaki,35.7333,140.8333,27.94,75,69,2.43,JP,1719274265
255,tangalle,6.024,80.7911,25.74,86,100,5.35,LK,1719274130
256,broken hill,-31.95,141.4333,11.34,46,79,5.88,AU,1719274268
257,hammerfest,70.6634,23.6821,9.73,91,100,2.04,NO,1719274269
258,kisangani,0.5167,25.2,23.11,79,11,0.67,CD,1719274029
259,ingeniero guillermo n. juarez,-23.9,-61.85,13.64,68,100,3.39,AR,1719274272
260,kerikeri,-35.2268,173.9474,17.73,76,11,4.02,NZ,1719274180
261,correntina,-13.3433,-44.6367,20.03,44,2,1.24,BR,1719274275
262,darnah,32.767,22.6367,24.24,83,0,5.46,LY,1719274276
263,happy valley-goose bay,53.3168,-60.3315,10.14,96,80,2.06,CA,1719274277
264,tafuna,-14.3358,-170.72,26.71,66,100,9.13,AS,1719273989
265,taoudenni,22.6783,-3.9836,37.86,9,29,3.52,ML,1719274280
266,kalmunai,7.4167,81.8167,27.16,68,100,2.91,LK,1719274150
267,kruisfontein,-34.0033,24.7314,14.38,88,93,4.62,ZA,1719274283
268,nemuro,43.3236,145.575,12.44,99,100,3.18,JP,1719274055
269,takoradi,4.8845,-1.7554,24.64,92,100,3.21,GH,1719274286
270,arinos,-15.9169,-46.1056,20.4,47,0,0.58,BR,1719274287
271,kone,-21.0595,164.8658,28.51,51,17,1.55,NC,1719274288
272,sandnessjoen,66.0217,12.6316,12.03,91,100,12.42,NO,1719274290
273,la'ie,21.6477,-157.9253,28.58,71,36,4.47,US,1719274291
274,santiago de cao,-7.9589,-79.2392,17.26,86,3,5.87,PE,1719274292
275,kirakira,-10.4544,161.9205,29.05,77,87,5.4,SB,1719274295
276,santa cruz,-17.8,-63.1667,15.77,90,84,4.68,BO,1719273824
